academy_id, academy_name, road_address, building, address, sido, sigungu, dong, zip_code, latitude, longitude
8296,지앤비영수학원, 경기 성남시 중원구 희망로327번길 6, , 경기 성남시 중원구 상대원동 4762, 경기, 성남시 중원구, 상대원2동, 462818, 127.15768246513014, 37.4351290379035
8297,지앤비영어보습학원, 경기 이천시 어재연로 4-1, , 경기 이천시 중리동 206-12, 경기, 이천시, 중리동, 467800, 127.44264826092044, 37.277728662292816
8298,지앤비영어수학전문학원, 경기 여주시 도예로 40, 이안여주강변아파트, 경기 여주시 현암동 195, 경기, 여주시, 오학동, 469731, 127.64171740612491, 37.30725344076818
8299,지앤비영어전문학원, 경기 군포시 군포로 484, , 경기 군포시 당동 903-7, 경기, 군포시, 군포2동, 435010, 126.94463368977746, 37.3494979672255
8300,지앤비영어전문학원, 경기 김포시 김포한강2로 106, 한강메디플러스, 경기 김포시 장기동 2055-4, 경기, 김포시, 장기동, 415060, 126.67199105614401, 37.63932696200072
8301,지앤비영어지1230수학학원, 경기 광명시 오리로 801, 가 상가동, 경기 광명시 하안동 864, 경기, 광명시, 하안1동, , 126.86812252683245, 37.46993973696624
8302,지앤비영어학원, 경기 고양시 덕양구 도래울로 40, 예승골드프라자, 경기 고양시 덕양구 도내동 1087, 경기, 고양시 덕양구, 흥도동, 412060, 126.86880198504751, 37.629373876528284
8303,지앤비영어학원, 경기 남양주시 화도읍 맷돌로 114, 메디칼프라자, 경기 남양주시 화도읍 마석우리 383-5, 경기, 남양주시, 화도읍, 472845, 127.30289798433292, 37.65739568697277
8304,지앤비영어학원, 경기 안양시 동안구 흥안대로 436, 근화빌딩, 경기 안양시 동안구 평촌동 96, 경기, 안양시 동안구, 평촌동, 431070, 126.97538156648928, 37.39294501282251
8305,지앤비학원, 경기 의정부시 용민로 473, , 경기 의정부시 민락동 902-1, 경기, 의정부시, 송산2동, , 127.11806491051014, 37.7517007110045
8306,지앤비햇빛보습학원, 경기 고양시 덕양구 중앙로558번길 16-16, 능곡종합프라자, 경기 고양시 덕양구 행신동 948-2, 경기, 고양시 덕양구, 행신3동, 412836, 126.83669586081574, 37.623653994446876
