"key","latitude","longitude","value"
"1111017300","37.58956522033195","126.99307515907167","서울특별시 종로구 명륜3가"
"1111017400","37.575224513567356","127.01282819594738","서울특별시 종로구 창신동"
"1111017500","37.57452801599979","127.0195975696461","서울특별시 종로구 숭인동"
"1111017600","37.567486005359484","126.9654267672877","서울특별시 종로구 교남동"
"1111017700","37.5678972658658","126.96684374339323","서울특별시 종로구 평동"
"1111017800","37.57006278446992","126.96519465749947","서울특별시 종로구 송월동"
"1111017900","37.571132798575846","126.96396710318231","서울특별시 종로구 홍파동"
"1111018000","37.57178426591815","126.96127267527999","서울특별시 종로구 교북동"
"1111018100","37.573327093094626","126.96227256793478","서울특별시 종로구 행촌동"
"1111018200","37.61937397039383","126.95929975683546","서울특별시 종로구 구기동"
"1111018300","37.606391696043204","126.9683578109311","서울특별시 종로구 평창동"
